"","Family","Genus","Species","Museum_number","Date","Year","Country","Location","Latitude","Longitude","Reference","Holotype","Checked"
"128","Hipposideridae","Doryrhina","cyclops","","",NA,"Cameroon","Eshobi",5.785,9.36,"Aellen 1952","",""
"129","Hipposideridae","Doryrhina","cyclops","","",NA,"Cameroon","Kribi",2.967,9.917,"Aellen 1952","",""
"130","Hipposideridae","Doryrhina","cyclops","","",NA,"Cameroon","Tinta",6.272,9.51,"Aellen 1952","",""
"131","Hipposideridae","Hipposideros","abae","","",NA,"Cameroon","Karba Manga",8.233,13.767,"Aellen 1952","",""
"132","Hipposideridae","Hipposideros","cf. ruber","","",NA,"Cameroon","Atolo",6.183,9.467,"Aellen 1952","",""
"133","Hipposideridae","Hipposideros","cf. ruber","","",NA,"Cameroon","Bitye",3.217,12.367,"Aellen 1952","",""
"134","Hipposideridae","Hipposideros","cf. ruber","","",NA,"Cameroon","Campo",2.4,9.85,"Aellen 1952","",""
"135","Hipposideridae","Hipposideros","cf. ruber","","",NA,"Cameroon","Efulen",2.867,10.567,"Aellen 1952","",""
"136","Hipposideridae","Hipposideros","cf. ruber","","",NA,"Cameroon","Eshobi",5.785,9.36,"Aellen 1952","",""
"137","Hipposideridae","Hipposideros","cf. ruber","","",NA,"Cameroon","Karba Manga",8.233,13.767,"Aellen 1952","",""
"138","Hipposideridae","Hipposideros","cf. ruber","","",NA,"Cameroon","Kribi",2.967,9.917,"Aellen 1952","",""
"139","Hipposideridae","Hipposideros","cf. ruber","","",NA,"Cameroon","Mamfe",5.783,9.3,"Aellen 1952","",""
"140","Hipposideridae","Hipposideros","cf. ruber","","",NA,"Cameroon","Metet",3.433,11.717,"Aellen 1952","",""
"141","Hipposideridae","Hipposideros","cf. ruber","","",NA,"Cameroon","Mount Cameroon",4.15,9.233,"Aellen 1952","",""
"142","Hipposideridae","Hipposideros","cf. ruber","","",NA,"Cameroon","Mukonje",4.583,9.5,"Aellen 1952","",""
"143","Hipposideridae","Hipposideros","curtus","","",NA,"Cameroon","Akak",2.417,10,"Aellen 1952","",""
