Family,Genus,Species,Museum_number,Date,Year,Country,Location,Latitude,Longitude,Reference,Holotype,Checked
Emballonuridae,Coleura,afra,BMNH,,NA,Sudan,Jebel Kau,10.5833,31.5833,Koopman 1975,,
Emballonuridae,Coleura,afra,AMNH,,NA,Sudan,Jebelein,12.5667,32.8167,Koopman 1975,,
Emballonuridae,Coleura,afra,SMF,,1965,Sudan,Rheika,10.7,29.9833,Koopman 1975,,
Emballonuridae,Coleura,afra,RML,,NA,Sudan,Sennar,13.5833,33.6333,Koopman 1975,,
Emballonuridae,Coleura,afra,SMF,,1964,Sudan,Suakin,19.1,37.32,Koopman 1975,,
Emballonuridae,Coleura,afra,BMNH,,NA,Sudan,Wisco,11.3333,34.1667,Koopman 1975,,
Emballonuridae,Coleura,afra,,,NA,Tanzania,Mkulumuzi cave,-5.0833,39.05,Swynnerton & Hayman 1951,,
Emballonuridae,Coleura,afra,,,NA,Tanzania,Mwanza,-2.5167,32.9,Swynnerton & Hayman 1951,,
Emballonuridae,Coleura,afra,,,NA,Uganda,Karamoja,2.75,34.25,Thorn & Kerbis Peterhans 2009,,
Emballonuridae,Coleura,afra,,,NA,Uganda,Mount Watti,3.2167,31.0333,Thorn & Kerbis Peterhans 2009,,
Emballonuridae,Coleura,afra,,,NA,Uganda,Sukulu,0.6667,34.1667,Thorn & Kerbis Peterhans 2009,,
Emballonuridae,Coleura,afra,,,NA,Uganda,Teso,1.6667,33.5,Thorn & Kerbis Peterhans 2009,,
Emballonuridae,Saccolaimus,peli,MCZ,22-Nov-45,1945,Ghana,Oda,5.9167,-0.9833,GBIF,,
Emballonuridae,Saccolaimus,peli,USNM,30-Jan-68,1968,Ghana,Ahiriso,6.53,-2.33,GBIF,,
Emballonuridae,Saccolaimus,peli,USNM,29-Mar-68,1968,Ghana,"Kade, 6 Mi N",6.1,-0.85,GBIF,,
Emballonuridae,Saccolaimus,peli,USNM,10-Jul-68,1968,Ghana,Efeipo Krom,4.95,-1.87,GBIF,,
